ID,CODELESSON,LESSON,VALUELESSON
110981,113500,Chief Design Engineer,3
111009,2220200,Help Desk Technician,2
111054,1186500,Design Engineer,1
111081,113200,Health Coach II,3
111188,113400,Quality Control Specialist,2
111230,1256200,Paralegal,4
111300,3080500,Technical Writer,1
111391,1310300,Operator,3
111434,697300,Quality Control Specialist,2
111461,890300,Systems Administrator I,1
111513,2125000,Account Representative IV,2
111638,673100,Teacher,2
111708,2332809,Graphic Designer,3
111717,2332800,Mechanical Systems Engineer,2
111726,2332810,Internal Auditor,1
111744,2332814,Computer Systems Analyst IV,3
111762,2332819,Human Resources Manager,3
111771,2332808,Structural Analysis Engineer,1
111799,2332813,Computer Systems Analyst III,2
111887,116100,Speech Pathologist,1
111896,1011100,Information Systems Manager,3
111920,116200,Social Worker,4
111939,116300,Environmental Specialist,1
111948,116400,Design Engineer,4
111966,1036500,Account Coordinator,4
112048,427600,Social Worker,2
112075,2070500,Food Chemist,3
112084,1203100,Nurse Practicioner,4
112127,116500,Geological Engineer,4
112172,116600,Nurse Practicioner,3
112190,450201,Assistant Professor,3
112251,116900,Speech Pathologist,3
112260,117000,Account Executive,3
112288,2497301,Chemical Engineer,2
112312,2147400,Health Coach II,2
112367,2309500,Account Representative IV,4
112385,2063500,Paralegal,2
112394,117700,Geologist II,3
112446,729600,Nurse,1
112455,2220001,Teacher,2
112516,1169600,Human Resources Manager,3
112525,2482700,Food Chemist,3
112561,770700,Speech Pathologist,4
112570,2110200,GIS Technical Architect,3
112686,118800,Research Associate,2
112701,959100,Web Designer IV,4
112710,3063000,VP Product Management,4
112729,3064200,Computer Systems Analyst IV,2
112756,2313800,Analyst Programmer,4
112774,2277000,Research Nurse,2
112783,722900,Occupational Therapist,1
112826,119000,Electrical Engineer,3
113096,753600,Safety Technician I,3
113102,3120200,Librarian,3
113111,927200,Senior Editor,2
113193,119200,Clinical Specialist,1
113218,2111300,Geological Engineer,2
113236,119300,Registered Nurse,4
113245,1022900,Budget/Accounting Analyst II,3
113281,2257800,Speech Pathologist,4
113333,448000,Chief Design Engineer,2
113528,119400,Senior Financial Analyst,3
113537,3025600,Nurse Practicioner,2
113573,118200,Environmental Specialist,1
113582,2298000,Junior Executive,2
113607,2332900,Software Engineer III,4
113634,119100,Senior Developer,1
113661,2141300,Pharmacist,4
113698,119600,Web Developer III,4
113704,129600,Recruiter,1
113713,915800,Librarian,1
113731,724600,Senior Editor,4
113856,2226000,Staff Accountant I,4
113865,1044500,Sales Associate,2
113908,2086400,Civil Engineer,3
113953,889500,Junior Executive,3
113980,119700,VP Sales,1
113999,2165000,Biostatistician II,4
114008,2165001,Staff Accountant I,3
114044,2091200,Help Desk Operator,3
114062,1265100,Technical Writer,3
114071,1265000,Research Assistant III,3
114080,2221300,Nuclear Power Engineer,4
114114,2609000,Sales Associate,1
114123,903200,Geological Engineer,3
114266,1245201,Software Test Engineer IV,2
114354,1111200,Senior Sales Associate,2
114372,2234300,Automation Specialist IV,4
114390,1111202,General Manager,3
114415,1111203,Recruiter,3
114433,859700,VP Product Management,2
114460,725300,Operator,4
114503,712600,Electrical Engineer,4
114549,2096100,Senior Quality Engineer,2
114628,1298500,Geologist III,2
114716,119900,Human Resources Assistant I,4
114761,2230900,Administrative Assistant IV,2
114789,130700,Research Assistant IV,3
114813,125300,Office Assistant III,1
114840,120000,Community Outreach Specialist,4
114859,120100,Financial Advisor,3
114886,1202702,Safety Technician III,4
114895,1202700,Assistant Professor,3
114901,1202703,Environmental Specialist,3
114910,1304600,Accountant II,1
114938,120200,Nurse Practicioner,4
114947,2231900,Help Desk Operator,2
115001,120300,Librarian,1
115010,2338500,Statistician I,4
115047,120400,Research Assistant I,1
115074,001205A6,Environmental Tech,3
115083,120500,Computer Systems Analyst III,4
115126,120600,Senior Cost Accountant,4
115214,120700,Associate Professor,2
115296,120800,Professor,4
115357,2211000,Human Resources Assistant I,4
115384,1037500,Senior Editor,4
115393,120900,Project Manager,1
115409,117100,Environmental Specialist,2
115427,853200,VP Quality Control,4
115436,729400,Programmer Analyst I,3
115445,121000,Sales Representative,4
115454,747700,Environmental Specialist,1
115472,809300,Structural Engineer,2
115481,2262300,Social Worker,3
115490,2593200,Pharmacist,2
115515,723400,Junior Executive,2
115533,2079800,Senior Editor,1
115542,2187500,Account Executive,2
115658,2285100,Web Developer I,1
115728,118300,Software Test Engineer III,4
115755,114900,Account Representative IV,3
115773,121200,Database Administrator IV,1
115782,2496000,Physical Therapy Assistant,2
115791,2084002,Sales Associate,3
115861,121400,Marketing Manager,2
115931,2128300,Business Systems Development Analyst,1
115940,3117100,Actuary,2
116040,2312400,Cost Accountant,3
116226,2520300,Office Assistant I,1
116235,2222903,Engineer IV,4
116280,2521300,Staff Scientist,3
116350,2255400,Senior Cost Accountant,3
116439,2539500,VP Marketing,4
116466,2291600,Account Executive,4
116475,2291500,Analyst Programmer,2
116484,2321900,Automation Specialist IV,1
116563,1202600,Quality Engineer,3
116581,023248A1,Engineer IV,3
116606,2228600,Geologist I,3
116615,2324800,Nuclear Power Engineer,1
116624,1033300,Assistant Media Planner,1
116712,448400,Biostatistician III,2
116846,274100,Research Assistant III,1
117052,130800,Research Nurse,4
117104,2270600,Financial Advisor,3
117113,2327600,Cost Accountant,1
117140,121600,Recruiter,2
117168,2330500,Software Consultant,2
117195,1290700,Internal Auditor,3
117238,1301000,Health Coach IV,2
117247,126600,Librarian,3
117274,121700,VP Quality Control,3
117520,2228500,Internal Auditor,4
117593,1082500,Biostatistician IV,1
117627,121500,Director of Sales,4
117636,121800,Account Representative I,2
117645,121900,Paralegal,3
117672,122900,Nuclear Power Engineer,4
117690,122400,Senior Developer,1
117706,122600,Media Manager II,2
117715,704700,General Manager,2
117724,122700,Software Consultant,2
117733,122800,Quality Control Specialist,2
117751,122000,Project Manager,3
117788,122300,Paralegal,4
117803,616500,Help Desk Technician,1
117867,1255000,Administrative Officer,2
117894,1034000,Physical Therapy Assistant,4
117928,723600,Dental Hygienist,4
117937,1164901,Geological Engineer,2
117946,1164900,VP Quality Control,3
118116,1231600,Community Outreach Specialist,3
118125,1231700,Web Designer I,2
118143,714200,Marketing Assistant,4
118161,1324000,Assistant Manager,2
118189,2546400,Marketing Manager,2
118198,1291200,Environmental Tech,1
118259,2351900,Web Designer IV,2
118277,2091700,Administrative Officer,3
118286,2549000,Pharmacist,3
118301,2204700,Geologist III,3
118347,117800,Recruiting Manager,3
118356,747600,GIS Technical Architect,4
118374,745700,Geological Engineer,4
118383,898100,Assistant Professor,2
118392,745600,Geological Engineer,4
118417,721000,Engineer I,2
118426,725800,Business Systems Development Analyst,4
118435,1076800,Associate Professor,2
118444,722600,Sales Associate,2
118453,721900,Occupational Therapist,3
118480,720500,Analog Circuit Design manager,4
118541,1047400,Senior Financial Analyst,4
118569,2296500,Biostatistician IV,3
118587,395200,Accounting Assistant I,2
118684,1167200,Programmer Analyst II,3
118693,123600,Graphic Designer,4
118709,1036800,Teacher,3
118718,123700,Pharmacist,2
118772,126700,Office Assistant III,2
118888,123800,Pharmacist,2
118897,1322000,Recruiting Manager,2
118912,123900,Software Test Engineer III,2
118921,2338700,Help Desk Technician,2
118930,2119100,Account Representative I,1
118958,720400,Environmental Specialist,1
118967,2539100,Research Associate,1
118976,124000,Junior Executive,4
118985,847800,Product Engineer,3
118994,2185800,Recruiter,2
119030,1307800,VP Quality Control,4
119058,124100,Senior Financial Analyst,1
119067,124200,Business Systems Development Analyst,2
119137,711500,Environmental Specialist,3
119155,2205700,Financial Advisor,2
119164,124500,Design Engineer,2
119173,124300,Structural Engineer,1
119216,124600,Assistant Manager,2
119270,2161800,Administrative Assistant III,2
119331,124700,Environmental Tech,2
119340,1102400,Occupational Therapist,1
119359,1110900,Senior Financial Analyst,2
119368,760600,Clinical Specialist,1
119438,1112100,Senior Developer,3
119456,1112300,Nurse Practicioner,3
119465,809000,Computer Systems Analyst II,1
119492,1111600,Health Coach IV,2
119508,449400,Technical Writer,3
119544,2518400,Programmer Analyst IV,4
119553,2542300,Paralegal,3
119605,1146000,Physical Therapy Assistant,1
119678,131000,Editor,4
119702,001120A1,Assistant Media Planner,2
119711,1083100,Speech Pathologist,1
119775,3043900,Research Associate,3
119827,714800,Recruiter,2
119836,1243600,Help Desk Technician,3
119845,713000,Social Worker,4
119951,718700,Director of Sales,2
120032,1299000,Food Chemist,2
120069,1287200,Payment Adjustment Coordinator,4
120078,1170700,Nurse Practicioner,3
120087,2591600,Senior Quality Engineer,1
120184,117900,VP Sales,2
120254,124900,Nurse,3
120272,1298900,Media Manager II,1
120290,448100,Community Outreach Specialist,1
120342,125000,Product Engineer,2
120351,1159800,Account Executive,3
120403,125100,Senior Developer,1
120421,1284200,VP Quality Control,4
120537,125200,Safety Technician IV,4
120661,793000,Senior Editor,4
120698,2138300,Editor,3
120704,3084000,VP Sales,3
120740,125400,Associate Professor,3
120768,125500,Web Developer IV,3
120795,125600,Help Desk Technician,1
120856,793100,Physical Therapy Assistant,1
120865,125800,Nurse,3
120883,132900,Sales Associate,3
120917,1307700,Media Manager I,4
120944,2184900,Tax Accountant,4
120953,125900,Programmer Analyst II,1
120962,2549001,Software Test Engineer I,2
120971,126000,Actuary,3
121008,2255600,Computer Systems Analyst III,1
121017,2059800,Librarian,1
121044,126100,Human Resources Manager,4
121071,449000,Legal Assistant,3
121150,1014900,General Manager,2
121257,117200,Food Chemist,4
121275,2304300,Information Systems Manager,3
121309,126200,Teacher,2
121345,117300,Clinical Specialist,3
121363,126800,Registered Nurse,1
121381,1162600,Data Coordiator,2
121433,1298400,Health Coach IV,3
121619,128400,Systems Administrator III,2
121628,1044100,Information Systems Manager,2
121691,132200,Accounting Assistant I,1
121707,118500,VP Quality Control,4
121859,720300,Administrative Officer,1
121868,1309500,Teacher,1
121886,126900,Food Chemist,3
121901,127000,Systems Administrator I,3
121992,1294200,Product Engineer,2
122010,1287300,Electrical Engineer,2
122117,3109500,Senior Sales Associate,4
122180,123300,Sales Associate,2
122205,891800,Pharmacist,3
122223,129900,Physical Therapy Assistant,2
122287,2619300,Senior Quality Engineer,1
122296,701200,Pharmacist,1
122339,127300,VP Accounting,4
122366,2208700,Structural Engineer,1
122375,127500,Paralegal,4
122384,1182000,Senior Financial Analyst,4
122409,115100,Programmer II,3
122436,1039500,Assistant Professor,4
122454,394800,Health Coach III,2
122506,127800,Account Representative IV,2
122597,115400,Senior Editor,3
122603,127900,Sales Associate,1
122612,132500,Staff Scientist,2
122630,2141900,Business Systems Development Analyst,4
122649,2500000,Systems Administrator II,4
122658,128000,Analyst Programmer,3
122685,2120700,Administrative Officer,1
122694,2313500,Database Administrator I,4
122728,128100,Health Coach IV,3
122746,128200,Internal Auditor,2
122755,115500,Assistant Media Planner,3
122791,118100,Automation Specialist I,2
122816,1011800,Nurse Practicioner,2
122834,2577900,Cost Accountant,3
122843,3072700,Research Nurse,4
122852,2578000,Technical Writer,2
122889,128500,Environmental Specialist,1
122931,132600,Nurse,3
122940,2057800,Teacher,2
122977,128600,Biostatistician I,4
123013,128700,Software Test Engineer II,2
123068,1112200,Research Nurse,1
123095,2120600,Marketing Assistant,1
123110,919800,Mechanical Systems Engineer,1
123165,117400,Physical Therapy Assistant,2
123208,719000,Senior Cost Accountant,2
123217,118600,Account Coordinator,4
123299,128900,Tax Accountant,1
123341,129000,Information Systems Manager,1
123350,2064300,Senior Developer,4
123378,2599900,Assistant Media Planner,3
123396,2188400,Pharmacist,2
123457,129100,Mechanical Systems Engineer,3
123484,118700,Programmer I,2
123493,950900,Information Systems Manager,1
123509,771300,Staff Accountant II,1
123527,127200,Senior Sales Associate,3
123536,127700,Cost Accountant,3
123554,130200,Data Coordiator,2
123563,129200,Data Coordiator,3
123572,115600,Internal Auditor,3
123581,2608900,Senior Developer,1
123633,2597300,Financial Advisor,3
123642,2277400,Systems Administrator II,1
123651,129300,Legal Assistant,2
123679,807100,Chemical Engineer,3
123800,129400,Data Coordiator,4
123855,129901,Junior Executive,3
123916,408000,Help Desk Operator,4
123943,123000,Structural Analysis Engineer,1
123952,2075800,Quality Engineer,1
123961,132800,Developer III,4
123970,129500,Human Resources Manager,3
124113,130900,Safety Technician I,2
124283,128800,Web Developer IV,4
124292,2358000,Financial Advisor,1
124344,2054900,Automation Specialist III,3
124399,792600,Computer Systems Analyst I,2
124432,2359200,Account Coordinator,3
124496,2497300,Registered Nurse,4
124502,2580700,Design Engineer,1
124627,1092303,Programmer III,4
124645,1294000,Budget/Accounting Analyst III,2
124681,2559300,Human Resources Assistant IV,2
124706,853700,Information Systems Manager,3
124779,1244601,Executive Secretary,1
124885,115800,Human Resources Manager,1
124937,760700,Community Outreach Specialist,2
124946,989000,Data Coordiator,2
125028,133400,Media Manager II,1
125082,2128200,Technical Writer,3
125091,133500,Structural Analysis Engineer,1
125170,2242700,Food Chemist,2
125231,2504200,Sales Representative,3
125268,429700,Senior Cost Accountant,2
125329,2061700,Dental Hygienist,4
125462,117600,Administrative Assistant IV,2
125471,859600,Marketing Assistant,4
125480,2052300,Compensation Analyst,1
125499,133800,Project Manager,3
125505,1057900,Help Desk Technician,3
125523,2318000,Sales Representative,2
125532,974800,GIS Technical Architect,3
125718,2276800,Senior Financial Analyst,4
125727,134100,Quality Control Specialist,2
125763,134200,Marketing Manager,3
125897,134300,Community Outreach Specialist,3
126012,884600,Database Administrator IV,1
126030,1083200,Clinical Specialist,3
126049,1085400,Assistant Manager,1
126076,2262400,Office Assistant II,3
126119,134400,Software Test Engineer I,1
126164,2165200,Senior Financial Analyst,1
126182,134500,Assistant Manager,1
126207,758200,Payment Adjustment Coordinator,3
126261,2059400,Analyst Programmer,4
126289,134600,Administrative Assistant I,4
126359,1267000,Programmer III,2
126386,617500,Nuclear Power Engineer,3
126401,450300,Developer I,1
126410,3013100,Geologist III,3
126562,674000,Junior Executive,1
126571,450800,Software Consultant,3
126580,450900,Executive Secretary,2
126605,729700,Staff Accountant IV,2
126614,137000,Senior Sales Associate,2
126669,940100,Design Engineer,2
126678,134700,Assistant Professor,2
126687,887100,Teacher,4
126702,2078900,Web Developer IV,2
126711,450600,Compensation Analyst,2
126748,135900,Budget/Accounting Analyst I,3
126775,134800,Assistant Professor,3
126784,1157200,Junior Executive,4
126793,3027800,Sales Associate,2
126818,135000,Research Associate,4
126827,1014800,Office Assistant III,4
126854,1070900,Desktop Support Technician,4
126863,2276900,Marketing Manager,3
126872,2594300,Sales Representative,4
126915,2156200,Legal Assistant,1
126924,2188700,Internal Auditor,4
126942,954200,Senior Cost Accountant,3
126951,754700,Research Nurse,4
126979,135200,Programmer I,3
127024,754800,Quality Control Specialist,2
127042,764800,Computer Systems Analyst II,4
127060,137100,Systems Administrator III,3
127149,2253701,Automation Specialist I,4
127158,559600,Paralegal,1
127185,135300,Professor,2
127200,793300,Graphic Designer,4
127219,2267500,Help Desk Technician,4
127228,2518500,Electrical Engineer,3
127273,135400,Senior Cost Accountant,1
127316,1285000,Developer II,1
127389,135500,Sales Associate,4
127556,135800,VP Sales,4
127565,136000,Structural Analysis Engineer,2
127574,2162900,Software Consultant,2
127617,998100,Software Engineer IV,1
127653,2117500,Geologist I,4
127680,405702,Information Systems Manager,2
127699,405703,Social Worker,2
127714,1300700,Office Assistant I,3
127732,136100,VP Product Management,4
127741,134900,Dental Hygienist,1
127778,136200,Food Chemist,3
127787,450700,Community Outreach Specialist,4
127820,889600,Web Developer I,4
127839,863500,Staff Accountant II,1
127848,433500,Tax Accountant,2
127884,2116300,Assistant Professor,2
127909,954300,Biostatistician IV,1
127918,136300,Teacher,4
127945,764900,Senior Developer,2
127990,2318100,Automation Specialist I,4
128036,1073200,Compensation Analyst,2
128045,136801,Technical Writer,3
128106,136500,Paralegal,2
128151,1287500,Senior Developer,2
128179,2253700,Help Desk Operator,3
128188,3066900,Community Outreach Specialist,4
128203,2141100,Biostatistician III,3
128258,136800,Chemical Engineer,1
128328,136900,Systems Administrator I,2
128337,2160600,Quality Engineer,4
128391,137200,Editor,3
128498,137400,Product Engineer,3
128540,887300,Graphic Designer,3
128577,1115000,Software Consultant,1
128586,2512400,Help Desk Operator,2
128674,2074000,VP Quality Control,3
128683,940700,Pharmacist,2
128726,618100,Librarian,1
128744,141600,Nurse,1
128762,2115100,Marketing Assistant,1
128771,137800,Structural Engineer,4
128887,1088700,Assistant Manager,3
128896,2316600,Physical Therapy Assistant,1
128902,137900,Media Manager III,4
128957,1041700,Chief Design Engineer,4
129002,730500,Compensation Analyst,4
129020,141700,Executive Secretary,3
129154,2244900,Automation Specialist III,1
129181,2228800,Actuary,3
129215,142500,Civil Engineer,1
129242,138500,Operator,4
129349,2112700,Operator,4
129367,763500,Nurse Practicioner,4
129428,280400,Payment Adjustment Coordinator,2
129446,906500,Account Coordinator,1
129482,2106600,Professor,1
129491,138700,Product Engineer,2
129525,142200,Senior Cost Accountant,2
129534,138900,Business Systems Development Analyst,3
